LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-03-22 18:58:22,1900-01-00 00:00:00,,00:E6:3A:6E:D1:60,-50, ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:25,1900-01-00 00:00:00,,9E:8C:4D:E0:AC:21,-90,,0.000000,0.000000,0.000,0.000,Client
2024-03-22 18:58:25,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:25,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:25,1900-01-00 00:00:00,,BE:59:4A:CF:7F:94,-82, ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:25,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:25,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:25,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-52, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-52, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-52, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-52, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-52, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-52, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-52, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:29,1900-01-00 00:00:00,,A8:0B:FB:49:02:20,-81, ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:32,1900-01-00 00:00:00,,BE:59:4A:CF:7F:94,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:32,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:32,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:32,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:32,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:32,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:32,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:32,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:32,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:32,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:32,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:32,1900-01-00 00:00:00,,BE:59:4A:CF:7F:94,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:35,1900-01-00 00:00:00,,C6:80:21:DD:17:62,-89,,0.000000,0.000000,0.000,0.000,Client
2024-03-22 18:58:35,1900-01-00 00:00:00,,C6:80:21:DD:17:62,-89,,0.000000,0.000000,0.000,0.000,Client
2024-03-22 18:58:36,1900-01-00 00:00:00,,62:A0:07:FC:13:6B,-89,,0.000000,0.000000,0.000,0.000,Client
2024-03-22 18:58:36,1900-01-00 00:00:00,,62:A0:07:FC:13:6B,-88,,0.000000,0.000000,0.000,0.000,Client
2024-03-22 18:58:36,1900-01-00 00:00:00,,62:A0:07:FC:13:6B,-88,,0.000000,0.000000,0.000,0.000,Client
2024-03-22 18:58:36,1900-01-00 00:00:00,,62:A0:07:FC:13:6B,-90,,0.000000,0.000000,0.000,0.000,Client
2024-03-22 18:58:36,1900-01-00 00:00:00,,62:A0:07:FC:13:6B,-88,,0.000000,0.000000,0.000,0.000,Client
2024-03-22 18:58:36,1900-01-00 00:00:00,,62:A0:07:FC:13:6B,-90,,0.000000,0.000000,0.000,0.000,Client
2024-03-22 18:58:36,1900-01-00 00:00:00,,62:A0:07:FC:13:6B,-90,,0.000000,0.000000,0.000,0.000,Client
2024-03-22 18:58:36,1900-01-00 00:00:00,,B4:8C:9D:E6:C6:85,-71,,0.000000,0.000000,0.000,0.000,Client
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,,BE:59:4A:CF:7F:94,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,,BE:59:4A:CF:7F:94,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-22 18:58:36,1900-01-00 00:00:00,STJC_GENTS,00:E6:3A:6E:D1:60,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
